,Player,TEAM,AGE,W,DEF RTG,DREB%,%DREB,STL,STL%,%BLK,OPP PTSOFF TOV,OPP PTS2ND CHANCE,OPP PTSFB,OPP PTSPAINT,DEFWS
18,Rudy Gobert,UTA,29,52,100.9,28.8,40.4,0.6,13.7,74.8,10.8,7.2,7.6,28.7,0.181
19,Solomon Hill,ATL,30,41,110.6,11.1,16.1,0.7,21.8,8.9,6.8,5.6,5.0,21.5,0.063
20,Brook Lopez,MIL,33,46,110.2,11.5,15.4,0.6,13.5,51.2,9.1,7.2,5.9,24.0,0.083
21,Bryn Forbes,MIL,27,45,110.8,6.9,9.9,0.3,11.2,0.8,6.8,5.8,4.4,18.4,0.056
22,Chris Paul,PHX,36,49,108.8,13.1,18.6,1.4,29.7,9.0,9.3,7.7,7.7,30.3,0.11
23,Jae'Sean Tate,HOU,25,17,111.8,11.8,17.2,1.2,26.3,18.6,10.6,7.8,8.8,29.6,0.076
24,Kelly Olynyk,HOU,30,26,113.2,19.6,27.6,1.1,26.8,26.3,10.0,7.3,7.6,26.6,0.062
25,Naz Reid,MIN,21,22,112.4,17.3,25.6,0.5,14.5,45.8,6.5,5.6,5.5,19.3,0.047
26,Nikola Vucevic,CHI,30,26,113.6,28.9,38.3,0.9,20.6,27.1,11.9,7.5,9.3,32.7,0.069
27,Robert Covington,POR,30,42,113.8,18.3,25.9,1.4,28.9,34.1,9.5,8.4,9.3,31.4,0.064
28,Saddiq Bey,DET,22,19,111.2,14.5,21.0,0.7,18.1,6.5,9.7,7.3,6.8,30.6,0.076
29,Tim Hardaway Jr.,DAL,29,42,112.3,10.1,14.9,0.4,13.1,6.5,8.7,8.1,6.9,26.3,0.07
30,Tyus Jones,MEM,25,36,107.8,9.3,13.7,0.9,27.0,4.2,6.1,4.5,5.1,17.0,0.066
31,Carmelo Anthony,POR,37,39,115.8,10.7,16.0,0.7,19.7,21.2,7.0,7.4,5.9,24.6,0.035
32,Coby White,CHI,21,30,111.3,11.6,15.9,0.6,13.1,8.7,11.9,7.3,8.2,31.2,0.087
33,Danny Green,PHI,34,46,107.4,10.0,14.2,1.3,25.9,23.6,10.1,6.8,8.7,27.3,0.109
34,Deandre Ayton,PHX,22,48,110.8,23.6,34.0,0.6,13.1,39.1,10.0,8.3,8.0,30.0,0.088
35,Dwight Howard,PHI,35,46,106.3,30.9,45.0,0.4,15.8,34.3,6.6,4.4,5.5,16.6,0.073
36,Jakob Poeltl,SAS,25,32,109.0,17.3,24.3,0.7,17.2,61.2,7.7,7.2,6.1,25.7,0.091
37,Joe Harris,BKN,29,45,110.6,9.0,13.0,0.7,15.7,6.1,9.9,9.0,8.1,31.1,0.092
38,Keldon Johnson,SAS,21,32,113.8,16.3,23.3,0.6,14.1,12.4,8.4,7.7,7.6,31.2,0.057
39,Kevin Huerter,ATL,22,40,111.6,9.0,12.8,1.2,25.9,7.8,10.0,8.0,7.1,32.0,0.082
40,Kyle Anderson,MEM,27,36,108.7,17.3,24.2,1.2,23.9,29.5,9.4,7.0,7.3,27.2,0.097
41,Montrezl Harrell,LAL,27,41,105.9,16.7,24.7,0.7,17.8,28.5,8.4,5.8,5.6,22.4,0.099
42,Norman Powell,POR,28,32,112.5,7.9,11.5,1.2,22.4,7.2,10.7,9.1,8.9,30.4,0.078
43,Pat Connaughton,MIL,28,44,107.3,15.2,21.3,0.7,18.4,17.6,7.3,6.3,5.3,19.1,0.09
44,T.J. McConnell,IND,29,33,110.0,10.6,16.4,1.9,38.7,9.2,8.8,8.9,6.8,28.4,0.083
45,Terry Rozier,CHA,27,32,112.9,10.5,15.5,1.3,22.8,10.5,12.3,9.4,10.1,34.3,0.078
46,Derrick Favors,UTA,29,49,111.6,22.7,30.9,0.5,23.4,67.3,5.4,4.3,4.1,17.9,0.041
47,Desmond Bane,MEM,23,36,109.7,11.6,16.5,0.6,14.6,9.8,7.9,5.4,6.3,22.0,0.072
48,Isaiah Stewart,DET,20,20,107.4,19.3,28.9,0.6,16.3,47.5,7.4,6.0,4.4,21.0,0.083
49,Jalen Brunson,DAL,24,40,108.7,11.7,16.6,0.5,17.8,0.7,7.2,6.0,6.0,22.0,0.087
50,Jeff Green,BKN,34,44,112.8,11.6,17.1,0.5,13.8,13.5,8.9,8.9,6.7,27.3,0.063
51,Jordan Clarkson,UTA,29,49,108.0,11.7,16.3,0.9,23.7,5.2,9.1,7.2,7.0,27.9,0.1
52,Khris Middleton,MIL,29,45,110.5,14.3,19.3,1.1,19.9,4.2,10.9,8.6,7.5,29.9,0.099
53,Kyle Kuzma,LAL,25,40,105.4,15.7,22.2,0.5,11.8,19.6,10.1,6.4,6.8,28.8,0.128
54,Patty Mills,SAS,32,31,106.4,5.3,7.9,0.6,18.3,1.6,7.5,6.8,5.5,24.6,0.105
55,Ricky Rubio,MIN,30,23,114.3,11.0,16.1,1.4,30.1,2.3,9.3,7.5,8.1,28.0,0.049
56,Thaddeus Young,CHI,33,30,110.1,15.4,21.7,1.1,29.8,27.0,8.3,5.9,5.3,24.9,0.075
57,Damian Lillard,POR,30,39,115.6,10.4,14.9,0.9,17.4,7.0,11.2,9.6,10.3,35.5,0.054
58,Dejounte Murray,SAS,24,32,109.5,19.0,26.9,1.5,30.8,3.2,8.9,8.6,7.4,32.8,0.104
59,Devin Booker,PHX,24,48,111.4,10.8,15.8,0.8,16.0,7.5,10.7,9.6,8.2,33.8,0.092
60,Dillon Brooks,MEM,25,36,109.4,6.9,9.7,1.2,21.0,11.9,10.5,7.6,8.2,29.8,0.099
61,Isaac Okoro,CLE,20,20,113.4,6.6,9.4,0.9,18.5,14.7,12.1,7.6,8.3,35.0,0.069
62,Joe Ingles,UTA,33,47,104.9,10.8,14.9,0.7,16.7,6.1,10.0,7.1,7.1,27.9,0.13
63,Kent Bazemore,GSW,31,35,104.6,14.0,20.8,1.0,28.9,26.2,6.8,5.3,5.3,18.6,0.094
64,Kentavious Caldwell-Pope,LAL,28,39,107.3,8.1,11.4,0.9,20.0,12.9,9.8,6.1,7.5,29.7,0.111
